Korea,韓国,🇰🇷
Australia,オーストラリア,🇦🇺
England,イギリス,🇬🇧
India,インド,🇮🇳
Brazil,ブラジル,🇧🇷
France,フランス,🇫🇷
Italy,イタリア,🇮🇹
shirt,シャツ,👕
pants,ズボン,👖
shoes,靴,👟
hat,帽子,🎩
cap,キャップ,🧢
dress,ワンピース,👗
socks,靴下,🧦
jacket,ジャケット,🧥
skirt,スカート,
glasses,めがね,👓
sun,太陽,☀️
moon,月,🌙
star,星,⭐
sky,空,🌤️
tree,木,🌳
flower,花,🌸
grass,草,🌱
cloud,雲,☁️
rain,雨,🌧️
snow,雪,❄️
wind,風,💨
